dataset,population,region,sexe,age,statut_residence,niveau_instruction,handicap,completude_pct
Adultes,18+,Goulmou,Femme,35,PDI,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,38,Hôte,Aucun,Oui,99.8
Adultes,18+,Koulsé,Homme,37,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,40,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,37,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,28,Hôte,Primaire,Non,99.7
Adultes,18+,Koulsé,Homme,45,Hôte,Primaire,Non,99.8
Adultes,18+,Koulsé,Homme,50,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,69,Hôte,Primaire,Non,99.8
Adultes,18+,Koulsé,Homme,53,Hôte,École Coranique,Non,99.8
Adultes,18+,Koulsé,Homme,42,Hôte,Aucun,Non,99.5
Adultes,18+,Koulsé,Femme,25,Hôte,Primaire,Non,99.8
Adultes,18+,Koulsé,Femme,25,Hôte,Secondaire/Lycée,Non,99.8
Adultes,18+,Koulsé,Homme,38,Hôte,Primaire,Non,99.8
Adultes,18+,Koulsé,Homme,50,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,48,Hôte,Aucun,Non,99.8
Adultes,18+,Yaadga,Homme,58,PDI,École Coranique,Non,99.8
Adultes,18+,Yaadga,Homme,48,PDI,Primaire,Non,99.8
Adultes,18+,Yaadga,Homme,48,PDI,École Coranique,Non,99.8
Adultes,18+,Nakambé,Homme,45,PDI,Aucun,Non,99.2
Adultes,18+,Nakambé,Homme,47,Hôte,Primaire,Non,99.7
Adultes,18+,Nakambé,Homme,52,PDI,Aucun,Non,99.7
Adultes,18+,Nakambé,Homme,40,PDI,Aucun,Non,99.4
Adultes,18+,Nakambé,Homme,30,Hôte,Primaire,Non,99.4
Adultes,18+,Nakambé,Homme,32,PDI,Primaire,Non,99.4
Adultes,18+,Nakambé,Homme,44,Hôte,Primaire,Non,99.4
Adultes,18+,Nakambé,Homme,33,PDI,Universitaire,Non,99.5
Adultes,18+,Yaadga,Homme,60,PDI,Aucun,Oui,98.7
Adultes,18+,Koulsé,Homme,44,PDI,École Coranique,Non,99.5
Adultes,18+,Koulsé,Homme,50,PDI,École Coranique,Non,99.5
Adultes,18+,Koulsé,Homme,44,PDI,École Coranique,Non,99.5
Adultes,18+,Koulsé,Homme,42,PDI,Primaire,Non,99.7
Adultes,18+,Koulsé,Homme,50,PDI,École Coranique,Non,99.5
Adultes,18+,Koulsé,Femme,45,PDI,Aucun,Non,99.5
Adultes,18+,Koulsé,Femme,43,PDI,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,62,PDI,Aucun,Oui,99.5
Adultes,18+,Koulsé,Femme,52,PDI,Aucun,Non,99.5
Adultes,18+,Koulsé,Femme,37,PDI,Aucun,Non,99.5
Adultes,18+,Yaadga,Femme,63,PDI,Aucun,Non,99.4
Adultes,18+,Yaadga,Femme,23,PDI,Primaire,Non,99.8
Adultes,18+,Yaadga,Femme,62,PDI,Aucun,Non,99.7
Adultes,18+,Yaadga,Femme,49,PDI,Aucun,Non,99.4
Adultes,18+,Goulmou,Homme,53,Hôte,Aucun,Non,99.4
Adultes,18+,Goulmou,Homme,34,PDI,Primaire,Non,99.5
Adultes,18+,Goulmou,Homme,44,Hôte,Primaire,Non,99.7
Adultes,18+,Koulsé,Homme,52,Hôte,Aucun,Non,99.7
Adultes,18+,Koulsé,Homme,40,Hôte,Aucun,Non,99.4
Adultes,18+,Yaadga,Femme,45,PDI,Aucun,Non,99.1
Adultes,18+,Yaadga,Femme,41,Hôte,Post-primaire,Non,99.2
Adultes,18+,Yaadga,Femme,55,Hôte,Aucun,Non,99.1
Adultes,18+,Yaadga,Homme,49,Hôte,Aucun,Non,99.7
Adultes,18+,Yaadga,Homme,52,Hôte,Alphabétisation,Non,99.7
Adultes,18+,Yaadga,Homme,61,Hôte,Aucun,Non,99.7
Adultes,18+,Yaadga,Homme,26,PDI,Aucun,Non,99.7
Adultes,18+,Yaadga,Homme,47,PDI,Primaire,Non,99.7
Adultes,18+,Yaadga,Homme,50,PDI,Alphabétisation,Non,99.8
Adultes,18+,Goulmou,Femme,36,Hôte,Secondaire/Lycée,Non,99.4
Adultes,18+,Yaadga,Homme,31,PDI,Aucun,Non,99.8
Adultes,18+,Nakambé,Homme,27,Hôte,Aucun,Non,99.8
Adultes,18+,Nakambé,Homme,35,Hôte,Primaire,Non,99.8
Adultes,18+,Nakambé,Homme,39,Hôte,Primaire,Non,99.8
Adultes,18+,Nakambé,Homme,52,PDI,Aucun,Non,99.8
Adultes,18+,Nakambé,Homme,44,Hôte,Alphabétisation,Non,99.8
Adultes,18+,Nakambé,Homme,32,Hôte,Primaire,Non,99.8
Adultes,18+,Yaadga,Femme,45,PDI,Aucun,Non,99.5
Adultes,18+,Yaadga,Femme,35,PDI,Primaire,Non,99.8
Adultes,18+,Goulmou,Femme,32,PDI,Aucun,Non,99.5
Adultes,18+,Goulmou,Homme,42,Hôte,Aucun,Non,99.5
Adultes,18+,Yaadga,Homme,74,PDI,Aucun,Non,99.5
Adultes,18+,Koulsé,Femme,38,Hôte,Aucun,Oui,99.4
Adultes,18+,Koulsé,Femme,26,Hôte,Primaire,Non,99.7
Adultes,18+,Koulsé,Femme,29,Hôte,Primaire,Non,99.4
Adultes,18+,Nakambé,Homme,51,Hôte,Aucun,Non,99.4
Adultes,18+,Nakambé,Homme,45,Hôte,Aucun,Non,99.4
Adultes,18+,Nakambé,Homme,49,Hôte,Aucun,Non,99.2
Adultes,18+,Nakambé,Homme,55,Hôte,Aucun,Non,99.4
Adultes,18+,Nakambé,Homme,45,Hôte,Aucun,Non,99.4
Adultes,18+,Nakambé,Homme,39,Hôte,Aucun,Non,99.4
Adultes,18+,Nakambé,Homme,50,Hôte,Aucun,Non,99.5
Adultes,18+,Nakambé,Homme,43,Hôte,Aucun,Non,99.4
Adultes,18+,Nakambé,Homme,44,Hôte,Primaire,Non,99.7
Adultes,18+,Nakambé,Homme,47,PDI,Aucun,Non,99.4
Adultes,18+,Nakambé,Homme,53,PDI,Aucun,Non,99.4
Adultes,18+,Nakambé,Homme,55,PDI,Aucun,Non,99.4
Adultes,18+,Nakambé,Femme,41,Hôte,Aucun,Oui,99.5
Adultes,18+,Nakambé,Femme,29,Hôte,Primaire,Non,99.5
Adultes,18+,Nakambé,Femme,38,Hôte,Primaire,Non,99.4
Adultes,18+,Nakambé,Femme,26,Hôte,Secondaire/Lycée,Non,99.7
Adultes,18+,Nakambé,Femme,37,Hôte,Aucun,Non,99.5
Adultes,18+,Nakambé,Femme,47,Hôte,Aucun,Non,99.4
Adultes,18+,Yaadga,Femme,63,PDI,Aucun,Non,99.5
Adultes,18+,Yaadga,Femme,58,PDI,Primaire,Non,99.8
Adultes,18+,Yaadga,Femme,55,PDI,Aucun,Non,99.7
Adultes,18+,Yaadga,Femme,45,PDI,Aucun,Non,99.8
Adultes,18+,Nakambé,Femme,51,Hôte,Aucun,Non,99.8
Adultes,18+,Nakambé,Femme,45,Hôte,Primaire,Non,99.8
Adultes,18+,Nakambé,Femme,37,Hôte,Primaire,Non,99.8
Adultes,18+,Goulmou,Femme,58,Hôte,Aucun,Non,99.4
Adultes,18+,Goulmou,Femme,32,Hôte,Alphabétisation,Non,99.8
Adultes,18+,Goulmou,Femme,27,PDI,Primaire,Non,99.8
Adultes,18+,Goulmou,Femme,35,PDI,Aucun,Non,99.5
Adultes,18+,Goulmou,Femme,50,PDI,Aucun,Oui,99.4
Adultes,18+,Goulmou,Femme,61,Hôte,Primaire,Non,99.1
Adultes,18+,Koulsé,Femme,70,Hôte,Aucun,Non,99.5
Adultes,18+,Koulsé,Femme,56,Hôte,Post-primaire,Non,99.5
Adultes,18+,Koulsé,Femme,41,Hôte,Primaire,Non,99.5
Adultes,18+,Koulsé,Femme,26,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,58,Hôte,Aucun,Non,99.5
Adultes,18+,Koulsé,Homme,60,Hôte,Primaire,Non,99.5
Adultes,18+,Koulsé,Homme,45,Hôte,Primaire,Non,99.5
Adultes,18+,Koulsé,Homme,63,Hôte,Primaire,Non,99.4
Adultes,18+,Koulsé,Homme,40,Hôte,Secondaire/Lycée,Non,99.5
Adultes,18+,Koulsé,Homme,35,Hôte,Universitaire,Non,99.5
Adultes,18+,Koulsé,Femme,29,PDI,Aucun,Non,99.4
Adultes,18+,Koulsé,Femme,45,PDI,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,33,PDI,Post-primaire,Non,99.7
Adultes,18+,Koulsé,Femme,35,PDI,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,47,PDI,Aucun,Non,99.4
Adultes,18+,Koulsé,Homme,58,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,39,PDI,Alphabétisation,Non,99.8
Adultes,18+,Koulsé,Homme,51,PDI,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,72,PDI,Aucun,Oui,99.7
Adultes,18+,Koulsé,Homme,63,PDI,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,59,Hôte,Aucun,Non,99.7
Adultes,18+,Koulsé,Homme,50,PDI,Alphabétisation,Non,99.8
Adultes,18+,Koulsé,Homme,47,PDI,Aucun,Non,99.8
