secteur,indicateur,dataset,region,sexe,statut_residence,valeur_modalite,n,total,pourcentage,unite
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Hôte,Secondaire/Lycée,29,73,39.7,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Retour volontaire,Post-primaire,2,3,66.7,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Filles,Retour volontaire,Secondaire/Lycée,1,3,33.3,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Déplacé.e interne,Alphabétisation,5,48,10.4,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Déplacé.e interne,Aucun,21,48,43.8,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Déplacé.e interne,Post-primaire,4,48,8.3,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Déplacé.e interne,Primaire,12,48,25.0,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Déplacé.e interne,Secondaire/Lycée,5,48,10.4,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Déplacé.e interne,École coranique,1,48,2.1,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Hôte,Alphabétisation,2,61,3.3,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Hôte,Aucun,15,61,24.6,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Hôte,Post-primaire,5,61,8.2,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Hôte,Primaire,17,61,27.9,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Hôte,Secondaire/Lycée,21,61,34.4,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Hôte,École coranique,1,61,1.6,%
Education,Niveau d’instruction,Adolescent.e.s,Liptako,Garçons,Retour volontaire,Alphabétisation,1,1,100.0,%
Education,Niveau d’instruction,Adolescent.e.s,Nakambé,Filles,Déplacé.e interne,Aucun,15,57,26.3,%
